,price,location,ratings,type,air,air conditioning,bar,breakfast,centre,closed,conditioning,desk,facilities,facilities guests,family,fitness,front,garden,guests,housekeeping,laundry,maker,non-smoking,parking,pool,restaurant,room,room service,service,shuttle,site,spa,superb,swimming,tea/coffee,tea/coffee maker,terrace,wellness,wifi
69,672,28,7.7,26,0.0,0.0,0.0,0.140000348022343,0.0,0.0,0.0,0.1234678619661359,0.0,0.0,0.1438712118040372,0.0,0.0,0.0,0.0,0.1710069960648367,0.0,0.2336228976597016,0.0,0.1465453070951531,0.0,0.0,0.109912425138892,0.109912425138892,0.109912425138892,0.0,0.0,0.0,0.0,0.0,0.2336228976597016,0.2336228976597016,0.0,0.0,0.1276066245863095
70,640,14,7.0,30,0.0,0.0,0.0,0.1152509276658824,0.2254763091255258,0.0,0.0,0.101641073251113,0.0,0.0,0.1184374957566797,0.0,0.0,0.0,0.0,0.0,0.2695617186862507,0.0,0.0,0.1206388614484199,0.0,0.0,0.0904819819250914,0.0904819819250914,0.0904819819250914,0.0,0.0,0.2656758239149093,0.0,0.0,0.0,0.0,0.170408684812752,0.2669491032775777,0.1050481807197869
71,2000,8,8.0,40,0.0,0.0,0.0,0.1425310725169797,0.0,0.0,0.0,0.0,0.0,0.0,0.146471908194645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491943419259849,0.0,0.2085505333097533,0.1118992635324617,0.1118992635324617,0.1118992635324617,0.1750034433336344,0.0,0.0,0.0,0.0,0.0,0.0,0.2107447905580686,0.0,0.1299133132130187
72,2094,14,8.3,64,0.0,0.0,0.0,0.1186127092074831,0.0,0.0,0.0,0.0,0.212543738334631,0.212543738334631,0.1218922270558716,0.0,0.0,0.0,0.212543738334631,0.0,0.0,0.1979326852808776,0.0,0.1241578049036324,0.0,0.1735533405151947,0.0931212722357521,0.0931212722357521,0.0931212722357521,0.1456358404373037,0.0,0.0,0.0,0.0,0.1979326852808776,0.1979326852808776,0.0,0.0,0.1081123559249212
73,3604,4,6.4,14,0.2044361040809944,0.2044361040809944,0.0,0.1763584202668743,0.0,0.0,0.2044361040809944,0.1555324497236332,0.0,0.0,0.1812345468712089,0.0,0.0,0.0,0.0,0.2154174907891308,0.0,0.0,0.0,0.0,0.0,0.0,0.1384566677084441,0.1384566677084441,0.1384566677084441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607460484600943
74,2789,28,7.7,30,0.0,0.0,0.0,0.1348483668927212,0.0,0.0,0.0,0.1189242725826097,0.0,0.0,0.1385767837631017,0.0,0.0,0.0,0.0,0.0,0.0,0.2250256278872131,0.0,0.1411524729525667,0.0,0.1973092486768177,0.1058676727634466,0.1058676727634466,0.1058676727634466,0.1655704129450941,0.0,0.0,0.0,0.0,0.2250256278872131,0.2250256278872131,0.0,0.0,0.1229107296748305
75,1529,27,6.6,15,0.1935395651034327,0.1935395651034327,0.0,0.0,0.0,0.0,0.1935395651034327,0.1472424981600005,0.0,0.0,0.1715746616325406,0.0,0.0,0.0,0.0,0.2039356388169257,0.0,0.0,0.0,0.1747636734507721,0.0,0.0,0.1310768632303141,0.1310768632303141,0.1310768632303141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2468628051378332,0.0,0.1521782096705207
76,2579,14,6.8,30,0.0,0.0,0.0,0.0774638167261463,0.151549803892452,0.0,0.0,0.0683162003953554,0.1388084742575388,0.1388084742575388,0.0796056105630387,0.0,0.1737160219171102,0.0,0.1388084742575388,0.0,0.0,0.0,0.0,0.0810852185102003,0.0,0.0,0.0608158199401518,0.0608158199401518,0.0608158199401518,0.0951121353501793,0.0,0.1785691772648943,0.0,0.0,0.0,0.0,0.0,0.1794249888508702,0.0
77,1323,14,8.4,30,0.0,0.0,0.0,0.128531426883602,0.0,0.0,0.0,0.1133532930235459,0.230317224400786,0.230317224400786,0.1320851869432113,0.0,0.0,0.0,0.230317224400786,0.0,0.3006236308690163,0.0,0.0,0.1345402185788112,0.0,0.0,0.1009083265499045,0.1009083265499045,0.1009083265499045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190045076911124,0.0,0.1171530054715359
78,1215,14,8.0,64,0.0,0.0,0.0,0.1512126097174917,0.0,0.0,0.0,0.1333560800945928,0.0,0.0,0.1553934808550227,0.0,0.0,0.0,0.0,0.1847024991022592,0.0,0.0,0.0,0.1582817374437731,0.0,0.0,0.1187150237867826,0.1187150237867826,0.1187150237867826,0.1856628657086232,0.0,0.0,0.0,0.0,0.0,0.0,0.2235812107626947,0.0,0.137826305387874
